"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"AI伺服器","2","2","1","1","0","0","0","0"
"稀有金屬","2","2","1","1","0","0","0","0"
"消費內需","1.5","3","2","1","1","0","0","0"
"低軌衛星","1","1","1","0","1","0","0","0"
"記憶體","1","1","1","0","1","0","0","0"
"連接器","1","1","1","0","1","0","0","0"
"PCB設備","0.5","1","2","0","1","1","0","0"
"被動元件","0.5","1","2","0","1","1","0","0"
"PCB","0.167","1","6","2","0","2","1","1"
"IC設計","0","0","5","0","2","2","0","1"
"塑化化工","0","0","2","0","1","0","1","0"
"晶圓代工","0","0","1","0","0","1","0","0"
"機械","0","0","3","1","0","1","0","1"
"精密零組件","0","0","1","0","0","1","0","0"
"紡織","0","0","1","0","0","1","0","0"
"軟板FPC","0","0","1","0","0","1","0","0"
"電腦週邊","0","0","1","0","0","1","0","0"
"工業電腦","-0.6","-3","5","0","0","2","3","0"
"半導體材料","-0.667","-2","3","0","0","2","0","1"
"生技醫療","-0.667","-2","3","0","0","1","2","0"
"光通訊","-0.75","-6","8","1","1","1","1","4"
"教育服務","-1","-1","1","0","0","0","1","0"
"板卡","-1","-1","1","0","0","0","1","0"
"機器人","-1","-1","1","0","0","0","1","0"
"電子材料","-1","-1","1","0","0","0","1","0"
"半導體設備","-1.2","-6","5","1","0","0","0","4"
"金屬加工","-1.5","-3","2","0","0","0","1","1"
"封測","-2","-2","1","0","0","0","0","1"
"工程服務","-2","-2","1","0","0","0","0","1"
"汽車","-2","-2","1","0","0","0","0","1"
"矽晶圓","-2","-2","1","0","0","0","0","1"
"綠能","-2","-2","1","0","0","0","0","1"
"網通","-2","-2","1","0","0","0","0","1"
"軟體","-2","-4","2","0","0","0","0","2"
"電子通路","-2","-2","1","0","0","0","0","1"
"電競周邊","-2","-2","1","0","0","0","0","1"
"面板光電","-2","-8","4","0","0","0","0","4"
