"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"AI伺服器","2","2","1","1","0","0","0","0"
"矽晶圓","2","2","1","1","0","0","0","0"
"AI散熱","1","1","1","0","1","0","0","0"
"汽車","1","1","1","0","1","0","0","0"
"軟體","1","2","2","1","0","1","0","0"
"功率半導體","0","0","2","0","0","2","0","0"
"工程服務","0","0","1","0","0","1","0","0"
"晶圓代工","0","0","1","0","0","1","0","0"
"精密零組件","0","0","2","0","0","2","0","0"
"被動元件","0","0","1","0","0","1","0","0"
"連接器","0","0","1","0","0","1","0","0"
"IC設計","-0.2","-1","5","1","1","0","2","1"
"光通訊","-1","-1","1","0","0","0","1","0"
"環保水處理","-1","-1","1","0","0","0","1","0"
"綠能","-1","-1","1","0","0","0","1","0"
"電腦週邊","-1","-1","1","0","0","0","1","0"
"生技醫療","-1.667","-5","3","0","0","0","1","2"
"PCB","-2","-2","1","0","0","0","0","1"
"塑化化工","-2","-2","1","0","0","0","0","1"
"消費內需","-2","-2","1","0","0","0","0","1"
"特用化學","-2","-2","1","0","0","0","0","1"
"電子通路","-2","-2","1","0","0","0","0","1"
