"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"汽車","2","2","1","1","0","0","0","0"
"網通","2","2","1","1","0","0","0","0"
"造紙","2","2","1","1","0","0","0","0"
"消費內需","1.5","3","2","1","1","0","0","0"
"面板光電","0.667","2","3","1","1","0","1","0"
"工業電腦","0","0","3","1","0","1","0","1"
"PCB","-1","-1","1","0","0","0","1","0"
"RFID","-1","-1","1","0","0","0","1","0"
"教育服務","-1","-1","1","0","0","0","1","0"
"光通訊","-2","-2","1","0","0","0","0","1"
"連接器","-2","-2","1","0","0","0","0","1"
"電子材料","-2","-2","1","0","0","0","0","1"
