"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"低軌衛星","2","2","1","1","0","0","0","0"
"晶圓代工","2","2","1","1","0","0","0","0"
"稀有金屬","2","2","1","1","0","0","0","0"
"金屬加工","2","2","1","1","0","0","0","0"
"半導體材料","1.25","5","4","3","0","0","1","0"
"IC設計","1","2","2","1","0","1","0","0"
"光學鏡頭","1","1","1","0","1","0","0","0"
"光通訊","1","6","6","4","0","0","2","0"
"塑化化工","1","2","2","1","0","1","0","0"
"精密零組件","1","1","1","0","1","0","0","0"
"綠能","1","1","1","0","1","0","0","0"
"記憶體","1","4","4","1","2","1","0","0"
"軟體","1","1","1","0","1","0","0","0"
"連接器","1","2","2","1","0","1","0","0"
"半導體設備","0.714","5","7","3","1","2","0","1"
"PCB","0.667","6","9","2","4","1","2","0"
"PCB設備","0.6","3","5","2","0","2","1","0"
"矽晶圓","0.333","1","3","0","2","0","1","0"
"面板光電","0.25","1","4","0","2","1","1","0"
"AI散熱","0","0","2","0","0","2","0","0"
"機械","0","0","1","0","0","1","0","0"
"消費內需","0","0","3","1","0","1","0","1"
"玻璃陶瓷","0","0","2","0","0","2","0","0"
"玻纖","0","0","1","0","0","1","0","0"
"自行車","0","0","1","0","0","1","0","0"
"被動元件","0","0","3","0","0","3","0","0"
"資安","0","0","1","0","0","1","0","0"
"電子通路","-0.333","-1","3","0","0","2","1","0"
"AI伺服器","-1","-2","2","0","0","0","2","0"
"封測","-1","-1","1","0","0","0","1","0"
"電源模組","-1","-1","1","0","0","0","1","0"
"電線電纜","-1","-2","2","0","0","1","0","1"
