"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"IC設計","0","0","1","0","0","1","0","0"
"紡織","0","0","1","0","0","1","0","0"
"生技醫療","-1","-1","1","0","0","0","1","0"
"面板光電","-1","-1","1","0","0","0","1","0"
"光學鏡頭","-1.5","-6","4","0","0","0","2","2"
"綠能","-2","-2","1","0","0","0","0","1"
"自行車","-2","-2","1","0","0","0","0","1"
