"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"PCB設備","2","10","5","5","0","0","0","0"
"低軌衛星","2","2","1","1","0","0","0","0"
"半導體材料","2","4","2","2","0","0","0","0"
"玻纖","2","2","1","1","0","0","0","0"
"稀有金屬","2","2","1","1","0","0","0","0"
"金屬加工","2","2","1","1","0","0","0","0"
"電源模組","2","2","1","1","0","0","0","0"
"記憶體","1.8","9","5","4","1","0","0","0"
"光通訊","1.571","11","7","5","1","1","0","0"
"AI伺服器","1","2","2","1","0","1","0","0"
"PCB","1","12","12","4","4","4","0","0"
"塑化化工","1","2","2","1","0","1","0","0"
"板卡","1","1","1","0","1","0","0","0"
"特用化學","1","1","1","0","1","0","0","0"
"半導體設備","0.875","7","8","2","3","3","0","0"
"面板光電","0.8","4","5","1","2","2","0","0"
"AI散熱","0.667","2","3","1","0","2","0","0"
"機械","0.667","2","3","1","0","2","0","0"
"矽晶圓","0.5","1","2","0","1","1","0","0"
"電子材料","0.5","1","2","0","1","1","0","0"
"被動元件","0.3","3","10","0","3","7","0","0"
"電子通路","0.25","1","4","1","0","2","1","0"
"天然氣能源","0","0","1","0","0","1","0","0"
"封測","0","0","4","0","2","1","0","1"
"工業電腦","0","0","3","0","0","3","0","0"
"消費內需","0","0","1","0","0","1","0","0"
"生技醫療","0","0","2","0","0","2","0","0"
"軟板FPC","0","0","1","0","0","1","0","0"
"連接器","0","0","1","0","0","1","0","0"
"IC設計","-0.5","-3","6","1","0","1","3","1"
"營建資產","-0.5","-1","2","0","1","0","0","1"
"光學鏡頭","-0.667","-2","3","0","0","1","2","0"
"環保水處理","-1","-1","1","0","0","0","1","0"
"網通","-1","-1","1","0","0","0","1","0"
"軟體","-1","-1","1","0","0","0","1","0"
"造紙","-2","-2","1","0","0","0","0","1"
