"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"半導體材料","2","2","1","1","0","0","0","0"
"汽車","2","2","1","1","0","0","0","0"
"被動元件","2","2","1","1","0","0","0","0"
"鋼鐵","2","2","1","1","0","0","0","0"
"電子通路","2","2","1","1","0","0","0","0"
"電腦週邊","1.667","5","3","2","1","0","0","0"
"IC設計","1","1","1","0","1","0","0","0"
"工程服務","1","1","1","0","1","0","0","0"
"網通","1","1","1","0","1","0","0","0"
"電子材料","1","1","1","0","1","0","0","0"
"面板光電","0.778","7","9","3","2","3","1","0"
"光學鏡頭","0.5","1","2","0","1","1","0","0"
"5G通訊","0","0","1","0","0","1","0","0"
"光通訊","0","0","1","0","0","1","0","0"
"機械","0","0","1","0","0","1","0","0"
"特用化學","0","0","1","0","0","1","0","0"
"軍工","0","0","1","0","0","1","0","0"
"量子電腦","0","0","1","0","0","1","0","0"
"塑化化工","-0.333","-1","3","1","0","0","1","1"
"AI伺服器","-0.5","-1","2","0","0","1","1","0"
"生技醫療","-0.5","-1","2","0","0","1","1","0"
"晶圓代工","-1","-1","1","0","0","0","1","0"
"綠能","-1","-1","1","0","0","0","1","0"
"PCB設備","-1.5","-3","2","0","0","0","1","1"
"連接器","-2","-2","1","0","0","0","0","1"
