"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"PCB","2","4","2","2","0","0","0","0"
"工業電腦","2","2","1","1","0","0","0","0"
"消費內需","2","4","2","2","0","0","0","0"
"低軌衛星","1","1","1","0","1","0","0","0"
"網通","1","1","1","0","1","0","0","0"
"汽車","0","0","1","0","0","1","0","0"
"綠能","0","0","1","0","0","1","0","0"
"觀光旅遊","0","0","1","0","0","1","0","0"
"紡織","-0.667","-2","3","1","0","0","0","2"
"矽晶圓","-1","-1","1","0","0","0","1","0"
"IC設計","-1.25","-5","4","0","0","1","1","2"
"生技醫療","-2","-2","1","0","0","0","0","1"
