"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"PCB設備","2","2","1","1","0","0","0","0"
"塑化化工","2","2","1","1","0","0","0","0"
"機械","2","2","1","1","0","0","0","0"
"稀有金屬","2","2","1","1","0","0","0","0"
"精密零組件","2","2","1","1","0","0","0","0"
"電子通路","2","2","1","1","0","0","0","0"
"生技醫療","1.5","3","2","1","1","0","0","0"
"低軌衛星","1","1","1","0","1","0","0","0"
"工程服務","1","1","1","0","1","0","0","0"
"電源模組","1","1","1","0","1","0","0","0"
"光學鏡頭","0.667","2","3","2","0","0","0","1"
"被動元件","0.6","3","5","1","1","3","0","0"
"AI伺服器","0","0","1","0","0","1","0","0"
"PCB","0","0","1","0","0","1","0","0"
"設備耗材","0","0","1","0","0","1","0","0"
"電腦週邊","0","0","1","0","0","1","0","0"
"面板光電","0","0","2","0","1","0","1","0"
"AI散熱","-1","-2","2","0","0","0","2","0"
"IC設計","-1","-1","1","0","0","0","1","0"
"光通訊","-1","-2","2","0","0","0","2","0"
"半導體設備","-1","-1","1","0","0","0","1","0"
"封測","-1","-1","1","0","0","0","1","0"
"工業電腦","-1","-1","1","0","0","0","1","0"
"環保水處理","-1","-1","1","0","0","0","1","0"
"量子電腦","-1","-1","1","0","0","0","1","0"
"電線電纜","-1","-1","1","0","0","0","1","0"
