"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"光通訊","2","2","1","1","0","0","0","0"
"汽車","2","2","1","1","0","0","0","0"
"生技醫療","2","2","1","1","0","0","0","0"
"綠能","2","2","1","1","0","0","0","0"
"造紙","2","2","1","1","0","0","0","0"
"紡織","1","1","1","0","1","0","0","0"
"營建資產","0","0","1","0","0","1","0","0"
"電腦週邊","0","0","1","0","0","1","0","0"
"IC設計","-1","-1","1","0","0","0","1","0"
"工業電腦","-1","-1","1","0","0","0","1","0"
"消費內需","-1","-1","1","0","0","0","1","0"
"塑化化工","-2","-2","1","0","0","0","0","1"
"網通","-2","-2","1","0","0","0","0","1"
"面板光電","-2","-2","1","0","0","0","0","1"
