"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"PCB設備","2","2","1","1","0","0","0","0"
"光學鏡頭","2","2","1","1","0","0","0","0"
"電子測試設備","2","2","1","1","0","0","0","0"
"電子通路","2","2","1","1","0","0","0","0"
"塑化化工","1.5","3","2","1","1","0","0","0"
"資安","1","1","1","0","1","0","0","0"
"精密零組件","0.667","2","3","1","1","0","1","0"
"光通訊","0","0","1","0","0","1","0","0"
"工業電腦","0","0","3","0","1","1","1","0"
"汽車","0","0","3","1","0","0","2","0"
"營建資產","0","0","1","0","0","1","0","0"
"製鞋","0","0","1","0","0","1","0","0"
"設備耗材","0","0","1","0","0","1","0","0"
"鋼鐵","0","0","1","0","0","1","0","0"
"電子材料","0","0","1","0","0","1","0","0"
"封測","-0.5","-1","2","0","0","1","1","0"
"連接器","-0.5","-1","2","0","0","1","1","0"
"面板光電","-0.571","-4","7","1","0","2","2","2"
"綠能","-0.667","-2","3","0","0","1","2","0"
"網通","-0.875","-7","8","0","1","1","4","2"
"IC設計","-1","-4","4","0","0","1","2","1"
"半導體設備","-1","-1","1","0","0","0","1","0"
"特用化學","-1","-2","2","0","0","1","0","1"
"軟體","-1","-2","2","0","0","1","0","1"
"金屬加工","-1","-1","1","0","0","0","1","0"
"電腦週邊","-1","-3","3","0","0","0","3","0"
"生技醫療","-1.333","-4","3","0","0","1","0","2"
"機械","-1.75","-7","4","0","0","0","1","3"
"AI邊緣運算","-2","-2","1","0","0","0","0","1"
"被動元件","-2","-2","1","0","0","0","0","1"
