"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"營建資產","2","2","1","1","0","0","0","0"
"玻纖","2","2","1","1","0","0","0","0"
"稀有金屬","2","2","1","1","0","0","0","0"
"電源模組","2","2","1","1","0","0","0","0"
"PCB設備","1.8","9","5","4","1","0","0","0"
"網通","1.5","3","2","1","1","0","0","0"
"電子材料","1.333","4","3","2","0","1","0","0"
"AI散熱","1.2","6","5","2","2","1","0","0"
"半導體材料","1.2","6","5","2","2","1","0","0"
"電子通路","1.2","6","5","3","0","2","0","0"
"記憶體","1.167","14","12","5","4","3","0","0"
"被動元件","1.105","21","19","8","5","6","0","0"
"光通訊","1.091","12","11","5","3","2","1","0"
"PCB","1","17","17","9","0","7","1","0"
"工程服務","1","2","2","0","2","0","0","0"
"金屬加工","1","2","2","1","0","1","0","0"
"封測","0.909","10","11","3","4","4","0","0"
"光學鏡頭","0.8","4","5","2","0","3","0","0"
"機械","0.75","6","8","3","2","2","0","1"
"半導體設備","0.692","9","13","2","6","4","1","0"
"AI伺服器","0.667","4","6","2","2","1","0","1"
"消費內需","0.5","1","2","0","1","1","0","0"
"IC設計","0.455","10","22","5","6","8","0","3"
"軟體","0.333","1","3","0","2","0","1","0"
"綠能","0.2","1","5","0","1","4","0","0"
"塑化化工","0","0","1","0","0","1","0","0"
"板卡","0","0","1","0","0","1","0","0"
"特用化學","0","0","1","0","0","1","0","0"
"環保水處理","0","0","1","0","0","1","0","0"
"矽晶圓","0","0","1","0","0","1","0","0"
"資安","0","0","1","0","0","1","0","0"
"軍工","0","0","1","0","0","1","0","0"
"電線電纜","0","0","1","0","0","1","0","0"
"精密零組件","-0.25","-1","4","0","1","2","0","1"
"面板光電","-0.571","-4","7","0","0","5","0","2"
"連接器","-0.667","-4","6","0","1","2","1","2"
"汽車","-1","-2","2","0","0","1","0","1"
"晶圓代工","-1.25","-5","4","0","0","1","1","2"
"光碟片","-2","-2","1","0","0","0","0","1"
"金融證券","-2","-2","1","0","0","0","0","1"
