"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"IC設計","2","2","1","1","0","0","0","0"
"PCB","2","2","1","1","0","0","0","0"
"紡織","2","2","1","1","0","0","0","0"
"自行車","0","0","1","0","0","1","0","0"
"生技醫療","-0.333","-1","3","0","1","1","0","1"
"電腦週邊","-1","-1","1","0","0","0","1","0"
