"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"封測","2","2","1","1","0","0","0","0"
"玻璃陶瓷","2","2","1","1","0","0","0","0"
"綠能","2","2","1","1","0","0","0","0"
"被動元件","2","2","1","1","0","0","0","0"
"電子材料","2","2","1","1","0","0","0","0"
"機械","1.5","3","2","1","1","0","0","0"
"連接器","1.5","3","2","1","1","0","0","0"
"PCB","1","7","7","3","2","1","1","0"
"PCB設備","1","2","2","1","0","1","0","0"
"光通訊","1","3","3","1","1","1","0","0"
"設備耗材","1","1","1","0","1","0","0","0"
"工業電腦","0.727","8","11","3","4","3","0","1"
"消費內需","0.5","1","2","1","0","0","1","0"
"記憶體","0.5","1","2","0","1","1","0","0"
"半導體材料","0","0","1","0","0","1","0","0"
"半導體設備","0","0","4","0","1","2","1","0"
"網通","0","0","4","1","1","0","1","1"
"軟體","0","0","1","0","0","1","0","0"
"面板光電","0","0","2","0","0","2","0","0"
"IC設計","-0.167","-1","6","0","2","2","1","1"
"塑化化工","-0.5","-1","2","0","0","1","1","0"
"特用化學","-1","-1","1","0","0","0","1","0"
"精密零組件","-1","-1","1","0","0","0","1","0"
"資安","-1","-1","1","0","0","0","1","0"
"電子代工","-1","-1","1","0","0","0","1","0"
"軍工","-1.167","-7","6","0","0","0","5","1"
"AI散熱","-1.5","-3","2","0","0","0","1","1"
"生技醫療","-2","-2","1","0","0","0","0","1"
"紡織","-2","-4","2","0","0","0","0","2"
