"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"生技醫療","2","2","1","1","0","0","0","0"
"精密零組件","1","1","1","0","1","0","0","0"
"網通","0.75","3","4","1","1","2","0","0"
"電腦週邊","0.667","2","3","1","0","2","0","0"
"5G通訊","0","0","1","0","0","1","0","0"
"封測","0","0","1","0","0","1","0","0"
"汽車","0","0","1","0","0","1","0","0"
"軟板FPC","0","0","1","0","0","1","0","0"
"面板光電","0","0","2","1","0","0","0","1"
"軟體","-0.5","-3","6","0","1","2","2","1"
"PCB","-1","-1","1","0","0","0","1","0"
"綠能","-2","-2","1","0","0","0","0","1"
