"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"光碟片","2","2","1","1","0","0","0","0"
"綠能","2","2","1","1","0","0","0","0"
"生技醫療","1.333","4","3","1","2","0","0","0"
"IC設計","0","0","2","1","0","0","0","1"
"環保水處理","0","0","1","0","0","1","0","0"
"鋼鐵","0","0","1","0","0","1","0","0"
"光學鏡頭","-1","-1","1","0","0","0","1","0"
"半導體設備","-1","-1","1","0","0","0","1","0"
"塑化化工","-1","-1","1","0","0","0","1","0"
"自行車","-1","-1","1","0","0","0","1","0"
"軟體","-1","-1","1","0","0","0","1","0"
"電腦週邊","-1","-1","1","0","0","0","1","0"
"機械","-1.5","-3","2","0","0","0","1","1"
"工業電腦","-2","-2","1","0","0","0","0","1"
"面板光電","-2","-2","1","0","0","0","0","1"
