"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"網通","2","2","1","1","0","0","0","0"
"面板光電","1.333","4","3","2","0","1","0","0"
"機械","1","1","1","0","1","0","0","0"
"軟體","0.667","6","9","5","0","1","2","1"
"封測","0","0","2","1","0","0","0","1"
"AI散熱","-1","-1","1","0","0","0","1","0"
"半導體材料","-1","-1","1","0","0","0","1","0"
"資安","-1","-2","2","0","0","0","2","0"
"電腦週邊","-1","-1","1","0","0","0","1","0"
"半導體設備","-2","-2","1","0","0","0","0","1"
"生技醫療","-2","-2","1","0","0","0","0","1"
"自行車","-2","-2","1","0","0","0","0","1"
"金屬加工","-2","-2","1","0","0","0","0","1"
