"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"矽晶圓","2","2","1","1","0","0","0","0"
"綠能","2","2","1","1","0","0","0","0"
"IC設計","0.5","1","2","0","1","1","0","0"
"汽車","0.5","1","2","0","1","1","0","0"
"精密零組件","0","0","2","1","0","0","0","1"
"PCB","-0.5","-2","4","0","0","3","0","1"
"鋼鐵","-0.5","-1","2","0","0","1","1","0"
"光學鏡頭","-1","-1","1","0","0","0","1","0"
"塑化化工","-1","-1","1","0","0","0","1","0"
"網通","-1","-1","1","0","0","0","1","0"
"連接器","-1","-1","1","0","0","0","1","0"
"電子通路","-1","-2","2","0","0","1","0","1"
"AI散熱","-2","-2","1","0","0","0","0","1"
"PCB設備","-2","-2","1","0","0","0","0","1"
"封測","-2","-2","1","0","0","0","0","1"
"電子測試設備","-2","-2","1","0","0","0","0","1"
"面板光電","-2","-4","2","0","0","0","0","2"
