"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"生技醫療","2","2","1","1","0","0","0","0"
"綠能","2","2","1","1","0","0","0","0"
"面板光電","2","2","1","1","0","0","0","0"
"自行車","-2","-2","1","0","0","0","0","1"
