"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"5G通訊","2","2","1","1","0","0","0","0"
"AI伺服器","2","4","2","2","0","0","0","0"
"PCB設備","2","2","1","1","0","0","0","0"
"塑化化工","2","2","1","1","0","0","0","0"
"汽車","2","2","1","1","0","0","0","0"
"量子電腦","2","2","1","1","0","0","0","0"
"鋼鐵","2","2","1","1","0","0","0","0"
"電子通路","2","2","1","1","0","0","0","0"
"面板光電","1.167","7","6","4","0","1","1","0"
"生技醫療","0.5","2","4","1","0","3","0","0"
"光學鏡頭","0.333","1","3","1","0","1","1","0"
"光通訊","0.25","1","4","1","1","0","2","0"
"網通","0","0","1","0","0","1","0","0"
"電源模組","0","0","1","0","0","1","0","0"
"電線電纜","0","0","1","0","0","1","0","0"
"電腦週邊","0","0","3","1","0","0","2","0"
"IC設計","-0.5","-1","2","0","1","0","0","1"
"連接器","-0.5","-1","2","0","0","1","1","0"
"PCB","-1","-2","2","0","0","0","2","0"
"半導體設備","-1","-1","1","0","0","0","1","0"
"機械","-1","-1","1","0","0","0","1","0"
"半導體材料","-1.2","-6","5","0","0","0","4","1"
