"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"汽車","2","2","1","1","0","0","0","0"
"消費內需","2","4","2","2","0","0","0","0"
"網通","2","2","1","1","0","0","0","0"
"電子材料","2","2","1","1","0","0","0","0"
"半導體材料","1","1","1","0","1","0","0","0"
"面板光電","1","3","3","2","0","0","1","0"
"工業電腦","0.75","3","4","1","1","2","0","0"
"光通訊","0","0","5","1","0","3","0","1"
"綠能","0","0","1","0","0","1","0","0"
"金屬加工","0","0","1","0","0","1","0","0"
"IC設計","-0.5","-1","2","0","0","1","1","0"
"連接器","-0.5","-1","2","0","0","1","1","0"
"AI伺服器","-0.667","-2","3","0","1","0","1","1"
"PCB","-0.8","-4","5","1","0","0","2","2"
"AI散熱","-1","-1","1","0","0","0","1","0"
"光碟片","-1","-1","1","0","0","0","1","0"
"晶圓代工","-1","-1","1","0","0","0","1","0"
"電源模組","-1","-1","1","0","0","0","1","0"
"電競周邊","-1","-1","1","0","0","0","1","0"
"記憶體","-1.333","-4","3","0","0","0","2","1"
"被動元件","-1.429","-10","7","0","0","1","2","4"
"PCB設備","-1.5","-3","2","0","0","0","1","1"
"機械","-1.5","-3","2","0","0","0","1","1"
"低軌衛星","-2","-2","1","0","0","0","0","1"
"封測","-2","-4","2","0","0","0","0","2"
"玻璃陶瓷","-2","-2","1","0","0","0","0","1"
