"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"綠能","2","2","1","1","0","0","0","0"
"IC設計","1","1","1","0","1","0","0","0"
"PCB","0","0","1","0","0","1","0","0"
"光通訊","0","0","1","0","0","1","0","0"
"金屬加工","0","0","1","0","0","1","0","0"
"光學鏡頭","-0.333","-1","3","0","1","1","0","1"
"消費內需","-1","-2","2","0","0","0","2","0"
"自行車","-1","-1","1","0","0","0","1","0"
"造紙","-1","-1","1","0","0","0","1","0"
"半導體設備","-2","-4","2","0","0","0","0","2"
"汽車","-2","-2","1","0","0","0","0","1"
"生技醫療","-2","-2","1","0","0","0","0","1"
"網通","-2","-4","2","0","0","0","0","2"
"被動元件","-2","-2","1","0","0","0","0","1"
"軟板FPC","-2","-2","1","0","0","0","0","1"
