"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"精密零組件","2","2","1","1","0","0","0","0"
"IC設計","1","1","1","0","1","0","0","0"
"汽車","0","0","1","0","0","1","0","0"
"生技醫療","-1.5","-3","2","0","0","0","1","1"
