"sector","average","total","count","續漲停","強續漲","弱續漲","開高走低","直接跌"
"光碟片","2","2","1","1","0","0","0","0"
"工業電腦","2","2","1","1","0","0","0","0"
"PCB設備","1","1","1","0","1","0","0","0"
"機械","1","1","1","0","1","0","0","0"
"塑化化工","0.5","1","2","1","0","0","1","0"
"生技醫療","0.5","1","2","1","0","0","1","0"
"AI伺服器","0","0","1","0","0","1","0","0"
"PCB","0","0","2","0","1","0","1","0"
"光學鏡頭","0","0","2","1","0","0","0","1"
"光通訊","0","0","1","0","0","1","0","0"
"半導體設備","0","0","1","0","0","1","0","0"
"玻纖","0","0","1","0","0","1","0","0"
"稀有金屬","0","0","1","0","0","1","0","0"
"電腦週邊","0","0","1","0","0","1","0","0"
"IC設計","-1","-3","3","0","0","1","1","1"
"消費內需","-1","-1","1","0","0","0","1","0"
"精密零組件","-1","-1","1","0","0","0","1","0"
"網通","-1","-1","1","0","0","0","1","0"
"金屬加工","-1","-1","1","0","0","0","1","0"
"電子材料","-1","-1","1","0","0","0","1","0"
"晶圓代工","-2","-2","1","0","0","0","0","1"
"被動元件","-2","-4","2","0","0","0","0","2"
"設備耗材","-2","-2","1","0","0","0","0","1"
"電子通路","-2","-2","1","0","0","0","0","1"
